"Timestamp","Please rate the arousal level on a scale of low, mid, and high.","Please rate the valence(pleasure) level on a scale of negative, neutral, and positive."
"2024/12/20 8:25:23 pm CET","High","Positive"
"2024/12/20 8:32:46 pm CET","Low","Positive"
"2024/12/20 8:38:27 pm CET","Low","Neutral"
"2024/12/20 9:13:30 pm CET","Low","Positive"
"2024/12/20 9:29:22 pm CET","High","Positive"
"2024/12/20 9:50:14 pm CET","Mid","Neutral"
"2024/12/20 10:12:34 pm CET","High","Neutral"
"2024/12/21 6:41:22 pm CET","High","Positive"
"2024/12/21 11:30:49 pm CET","Low","Negative"
"2024/12/28 9:27:59 am CET","Low","Neutral"
"2024/12/28 9:28:13 am CET","Low","Neutral"
"2024/12/28 9:29:21 am CET","Mid","Positive"
"2024/12/29 11:05:48 am CET","Mid","Positive"
"2024/12/30 3:53:28 pm CET","Mid","Positive"
"2024/12/30 4:01:43 pm CET","Mid","Positive"
"2025/01/03 6:16:42 pm CET","Mid","Negative"
"2025/01/03 6:36:41 pm CET","Mid","Neutral"
"2025/01/03 6:59:44 pm CET","Mid","Positive"
"2025/01/03 7:24:18 pm CET","Mid","Neutral"
